Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date Time	Begin File	Avg Power Density (dB FS/Hz)	Energy (dB FS)	Max Entropy (bits)	Max Freq (Hz)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	Center Time (s)	Truth (0 or 1)	Background (kHz)	Missed (in 10s frame)	Other Disturb. Type	Detector	Frame Duration	Occupancy	Reason
11	Spectrogram 1	1	81.055979167	81.077312500	200.000	2000.000	81.0560	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	81.0773					Band Limited Energy Detector	2	1.0000	Detection
12	Spectrogram 1	1	82.378645833	82.389312500	200.000	2000.000	82.3786	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	82.3893					Band Limited Energy Detector	1	1.0000	Too short
13	Spectrogram 1	1	92.117312500	92.127979167	200.000	2000.000	92.1173	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	92.1280					Band Limited Energy Detector	1	1.0000	Too short
14	Spectrogram 1	1	94.314645833	94.335979167	200.000	2000.000	94.3146	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.15	-0.497	1.913	328.125	328.125	-30.70	94.3253					Band Limited Energy Detector	2	1.0000	Detection
15	Spectrogram 1	1	103.253312500	103.285312500	200.000	2000.000	103.2533	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.15	-0.497	1.913	328.125	328.125	-30.70	103.2746					Band Limited Energy Detector	3	0.6667	Detection
16	Spectrogram 1	1	113.909312500	113.919979167	200.000	2000.000	113.9093	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	113.9200					Band Limited Energy Detector	1	1.0000	Too short
17	Spectrogram 1	1	115.605312500	115.615979167	200.000	2000.000	115.6053	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	115.6160					Band Limited Energy Detector	1	1.0000	Too short
18	Spectrogram 1	1	141.471979167	141.525312500	200.000	2000.000	141.4720	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-46.47	0.398	2.743	328.125	328.125	-30.70	141.4933					Band Limited Energy Detector	5	0.6000	Detection
19	Spectrogram 1	1	171.637312500	171.647979167	200.000	2000.000	171.6373	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	171.6480					Band Limited Energy Detector	1	1.0000	Too short
20	Spectrogram 1	1	172.405312500	172.543979167	200.000	2000.000	172.4053	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.61	6.730	2.743	281.250	281.250	-26.55	172.5120					Band Limited Energy Detector	13	0.3846	Too sparse
21	Spectrogram 1	1	190.655979167	190.709312500	200.000	2000.000	190.6560	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-46.47	0.398	2.743	328.125	328.125	-30.70	190.6773					Band Limited Energy Detector	5	1.0000	Detection
22	Spectrogram 1	1	211.733312500	211.903979167	200.000	2000.000	211.7333	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.20	7.980	2.743	281.250	281.250	-26.55	211.8506					Band Limited Energy Detector	16	0.3750	Too sparse
23	Spectrogram 1	1	216.191979167	216.213312500	200.000	2000.000	216.1920	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	216.2133					Band Limited Energy Detector	2	1.0000	Detection
24	Spectrogram 1	1	301.557312500	301.567979167	200.000	2000.000	301.5573	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	301.5680					Band Limited Energy Detector	1	1.0000	Too short
25	Spectrogram 1	1	308.138645833	308.181312500	200.000	2000.000	308.1386	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-46.47	0.398	2.743	328.125	328.125	-30.70	308.1493					Band Limited Energy Detector	4	0.5000	Too sparse
26	Spectrogram 1	1	315.082645833	315.093312500	200.000	2000.000	315.0826	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	315.0933					Band Limited Energy Detector	1	1.0000	Too short
27	Spectrogram 1	1	331.242645833	331.253312500	200.000	2000.000	331.2426	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	331.2533					Band Limited Energy Detector	1	1.0000	Too short
28	Spectrogram 1	1	333.418645833	333.429312500	200.000	2000.000	333.4186	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	333.4293					Band Limited Energy Detector	1	1.0000	Too short
29	Spectrogram 1	1	355.989312500	356.095979167	200.000	2000.000	355.9893	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.88	4.417	2.743	281.250	281.250	-28.70	356.0533					Band Limited Energy Detector	10	0.3000	Too sparse
30	Spectrogram 1	1	367.423979167	367.487979167	200.000	2000.000	367.4240	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-46.88	0.785	2.743	328.125	328.125	-30.70	367.4453					Band Limited Energy Detector	6	0.5000	Too sparse
31	Spectrogram 1	1	368.607979167	368.703979167	200.000	2000.000	368.6080	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-46.89	2.531	2.743	328.125	328.125	-30.70	368.6506					Band Limited Energy Detector	9	0.2222	Too sparse
32	Spectrogram 1	1	385.631979167	385.642645833	200.000	2000.000	385.6320	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	385.6426					Band Limited Energy Detector	1	1.0000	Too short
33	Spectrogram 1	1	393.834645833	393.845312500	200.000	2000.000	393.8346	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	393.8453					Band Limited Energy Detector	1	1.0000	Too short
34	Spectrogram 1	1	399.306645833	399.317312500	200.000	2000.000	399.3066	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	399.3173					Band Limited Energy Detector	1	1.0000	Too short
35	Spectrogram 1	1	401.397312500	401.407979167	200.000	2000.000	401.3973	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	401.4080					Band Limited Energy Detector	1	1.0000	Too short
36	Spectrogram 1	1	405.887979167	405.898645833	200.000	2000.000	405.8880	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	405.8986					Band Limited Energy Detector	1	1.0000	Too short
37	Spectrogram 1	1	415.498645833	415.509312500	200.000	2000.000	415.4986	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	415.5093					Band Limited Energy Detector	1	1.0000	Too short
38	Spectrogram 1	1	422.890645833	422.901312500	200.000	2000.000	422.8906	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	422.9013					Band Limited Energy Detector	1	1.0000	Too short
39	Spectrogram 1	1	441.855979167	441.866645833	200.000	2000.000	441.8560	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	441.8666					Band Limited Energy Detector	1	1.0000	Too short
40	Spectrogram 1	1	468.277312500	468.287979167	200.000	2000.000	468.2773	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	468.2880					Band Limited Energy Detector	1	1.0000	Too short
41	Spectrogram 1	1	482.922645833	482.954645833	200.000	2000.000	482.9226	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.15	-0.497	1.913	328.125	328.125	-30.70	482.9333					Band Limited Energy Detector	3	0.6667	Detection
42	Spectrogram 1	1	494.399979167	494.410645833	200.000	2000.000	494.4000	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	494.4106					Band Limited Energy Detector	1	1.0000	Too short
43	Spectrogram 1	1	510.975979167	510.997312500	200.000	2000.000	510.9760	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	510.9973					Band Limited Energy Detector	2	1.0000	Detection
44	Spectrogram 1	1	530.431979167	530.453312500	200.000	2000.000	530.4320	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	530.4533					Band Limited Energy Detector	2	1.0000	Detection
45	Spectrogram 1	1	533.023979167	533.034645833	200.000	2000.000	533.0240	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	533.0346					Band Limited Energy Detector	1	1.0000	Too short
46	Spectrogram 1	1	533.535979167	533.546645833	200.000	2000.000	533.5360	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	533.5466					Band Limited Energy Detector	1	1.0000	Too short
47	Spectrogram 1	1	537.973312500	538.026645833	200.000	2000.000	537.9733	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-46.47	0.398	2.743	328.125	328.125	-30.70	537.9840					Band Limited Energy Detector	5	0.6000	Detection
48	Spectrogram 1	1	538.709312500	538.730645833	200.000	2000.000	538.7093	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	538.7200					Band Limited Energy Detector	2	1.0000	Detection
49	Spectrogram 1	1	541.610645833	541.621312500	200.000	2000.000	541.6106	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	541.6213					Band Limited Energy Detector	1	1.0000	Too short
50	Spectrogram 1	1	556.319979167	556.330645833	200.000	2000.000	556.3200	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	556.3306					Band Limited Energy Detector	1	1.0000	Too short
51	Spectrogram 1	1	556.607979167	556.682645833	200.000	2000.000	556.6080	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-46.88	0.785	2.743	328.125	328.125	-30.70	556.6293					Band Limited Energy Detector	7	0.2857	Too sparse
52	Spectrogram 1	1	557.055979167	557.162645833	200.000	2000.000	557.0560	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-46.89	2.531	2.743	328.125	328.125	-30.70	557.0986					Band Limited Energy Detector	10	0.2000	Too sparse
53	Spectrogram 1	1	560.042645833	560.053312500	200.000	2000.000	560.0426	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	560.0426					Band Limited Energy Detector	1	1.0000	Too short
54	Spectrogram 1	1	565.706645833	565.770645833	200.000	2000.000	565.7066	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-46.88	0.785	2.743	328.125	328.125	-30.70	565.7173					Band Limited Energy Detector	6	0.3333	Too sparse
55	Spectrogram 1	1	602.015979167	602.026645833	200.000	2000.000	602.0160	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	602.0266					Band Limited Energy Detector	1	1.0000	Too short
56	Spectrogram 1	1	602.239979167	602.250645833	200.000	2000.000	602.2400	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	602.2506					Band Limited Energy Detector	1	1.0000	Too short
57	Spectrogram 1	1	604.842645833	604.853312500	200.000	2000.000	604.8426	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	604.8533					Band Limited Energy Detector	1	1.0000	Too short
58	Spectrogram 1	1	607.178645833	607.189312500	200.000	2000.000	607.1786	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	607.1893					Band Limited Energy Detector	1	1.0000	Too short
59	Spectrogram 1	1	608.586645833	608.597312500	200.000	2000.000	608.5866	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	608.5973					Band Limited Energy Detector	1	1.0000	Too short
60	Spectrogram 1	1	614.965312500	615.007979167	200.000	2000.000	614.9653	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-46.47	0.398	2.743	328.125	328.125	-30.70	614.9760					Band Limited Energy Detector	4	0.5000	Too sparse
61	Spectrogram 1	1	627.189312500	627.199979167	200.000	2000.000	627.1893	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	627.2000					Band Limited Energy Detector	1	1.0000	Too short
62	Spectrogram 1	1	634.335979167	634.346645833	200.000	2000.000	634.3360	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	634.3466					Band Limited Energy Detector	1	1.0000	Too short
63	Spectrogram 1	1	635.327979167	635.338645833	200.000	2000.000	635.3280	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	635.3280					Band Limited Energy Detector	1	1.0000	Too short
64	Spectrogram 1	1	635.541312500	635.551979167	200.000	2000.000	635.5413	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	635.5520					Band Limited Energy Detector	1	1.0000	Too short
65	Spectrogram 1	1	637.866645833	637.887979167	200.000	2000.000	637.8666	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.15	-0.497	1.913	328.125	328.125	-30.70	637.8773					Band Limited Energy Detector	2	1.0000	Detection
66	Spectrogram 1	1	639.029312500	639.039979167	200.000	2000.000	639.0293	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	639.0400					Band Limited Energy Detector	1	1.0000	Too short
67	Spectrogram 1	1	640.693312500	640.735979167	200.000	2000.000	640.6933	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-46.22	-0.316	2.743	328.125	328.125	-30.70	640.7146					Band Limited Energy Detector	4	0.5000	Too sparse
68	Spectrogram 1	1	644.778645833	644.799979167	200.000	2000.000	644.7786	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.15	-0.497	1.913	328.125	328.125	-30.70	644.7893					Band Limited Energy Detector	2	1.0000	Detection
69	Spectrogram 1	1	644.906645833	644.917312500	200.000	2000.000	644.9066	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	644.9173					Band Limited Energy Detector	1	1.0000	Too short
70	Spectrogram 1	1	645.034645833	645.045312500	200.000	2000.000	645.0346	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	645.0453					Band Limited Energy Detector	1	1.0000	Too short
71	Spectrogram 1	1	674.367979167	674.495979167	200.000	2000.000	674.3680	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.51	5.157	2.743	281.250	281.250	-28.70	674.4533					Band Limited Energy Detector	12	0.3333	Too sparse
72	Spectrogram 1	1	677.365312500	677.375979167	200.000	2000.000	677.3653	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	677.3760					Band Limited Energy Detector	1	1.0000	Too short
73	Spectrogram 1	1	677.759979167	677.770645833	200.000	2000.000	677.7600	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	677.7600					Band Limited Energy Detector	1	1.0000	Too short
74	Spectrogram 1	1	682.645312500	682.666645833	200.000	2000.000	682.6453	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	682.6560					Band Limited Energy Detector	2	1.0000	Detection
75	Spectrogram 1	1	683.167979167	683.178645833	200.000	2000.000	683.1680	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	683.1786					Band Limited Energy Detector	1	1.0000	Too short
76	Spectrogram 1	1	707.594645833	707.637312500	200.000	2000.000	707.5946	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-46.47	0.398	2.743	328.125	328.125	-30.70	707.6053					Band Limited Energy Detector	4	1.0000	Detection
77	Spectrogram 1	1	714.794645833	714.837312500	200.000	2000.000	714.7946	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-46.47	0.398	2.743	328.125	328.125	-30.70	714.8053					Band Limited Energy Detector	4	1.0000	Detection
78	Spectrogram 1	1	715.135979167	715.146645833	200.000	2000.000	715.1360	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	715.1466					Band Limited Energy Detector	1	1.0000	Too short
79	Spectrogram 1	1	717.962645833	717.973312500	200.000	2000.000	717.9626	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	717.9733					Band Limited Energy Detector	1	1.0000	Too short
80	Spectrogram 1	1	719.221312500	719.242645833	200.000	2000.000	719.2213	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	719.2320					Band Limited Energy Detector	2	1.0000	Detection
81	Spectrogram 1	1	719.391979167	719.466645833	200.000	2000.000	719.3920	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-46.88	0.785	2.743	328.125	328.125	-30.70	719.4133					Band Limited Energy Detector	7	0.2857	Too sparse
82	Spectrogram 1	1	721.279979167	721.290645833	200.000	2000.000	721.2800	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	721.2906					Band Limited Energy Detector	1	1.0000	Too short
83	Spectrogram 1	1	738.869312500	738.879979167	200.000	2000.000	738.8693	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	738.8800					Band Limited Energy Detector	1	1.0000	Too short
84	Spectrogram 1	1	748.629312500	748.639979167	200.000	2000.000	748.6293	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	748.6400					Band Limited Energy Detector	1	1.0000	Too short
85	Spectrogram 1	1	748.757312500	748.917312500	200.000	2000.000	748.7573	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.18	7.742	2.743	281.250	281.250	-26.55	748.8746					Band Limited Energy Detector	15	0.3333	Too sparse
86	Spectrogram 1	1	752.415979167	752.426645833	200.000	2000.000	752.4160	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	752.4266					Band Limited Energy Detector	1	1.0000	Too short
87	Spectrogram 1	1	752.554645833	752.565312500	200.000	2000.000	752.5546	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	752.5653					Band Limited Energy Detector	1	1.0000	Too short
88	Spectrogram 1	1	754.175979167	754.186645833	200.000	2000.000	754.1760	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	754.1866					Band Limited Energy Detector	1	1.0000	Too short
89	Spectrogram 1	1	758.815979167	758.826645833	200.000	2000.000	758.8160	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	758.8266					Band Limited Energy Detector	1	1.0000	Too short
90	Spectrogram 1	1	764.533312500	764.543979167	200.000	2000.000	764.5333	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	764.5440					Band Limited Energy Detector	1	1.0000	Too short
91	Spectrogram 1	1	768.767979167	768.778645833	200.000	2000.000	768.7680	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	768.7786					Band Limited Energy Detector	1	1.0000	Too short
92	Spectrogram 1	1	781.813312500	781.823979167	200.000	2000.000	781.8133	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	781.8240					Band Limited Energy Detector	1	1.0000	Too short
93	Spectrogram 1	1	784.213312500	784.234645833	200.000	2000.000	784.2133	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	784.2240					Band Limited Energy Detector	2	1.0000	Detection
94	Spectrogram 1	1	785.546645833	785.557312500	200.000	2000.000	785.5466	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	785.5573					Band Limited Energy Detector	1	1.0000	Too short
95	Spectrogram 1	1	787.818645833	787.829312500	200.000	2000.000	787.8186	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	787.8293					Band Limited Energy Detector	1	1.0000	Too short
96	Spectrogram 1	1	809.973312500	809.983979167	200.000	2000.000	809.9733	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	809.9840					Band Limited Energy Detector	1	1.0000	Too short
97	Spectrogram 1	1	826.111979167	826.133312500	200.000	2000.000	826.1120	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	826.1333					Band Limited Energy Detector	2	1.0000	Detection
98	Spectrogram 1	1	834.847979167	834.922645833	200.000	2000.000	834.8480	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-46.88	0.785	2.743	328.125	328.125	-30.70	834.8693					Band Limited Energy Detector	7	0.2857	Too sparse
99	Spectrogram 1	1	852.117312500	852.127979167	200.000	2000.000	852.1173	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	852.1280					Band Limited Energy Detector	1	1.0000	Too short
100	Spectrogram 1	1	859.114645833	859.125312500	200.000	2000.000	859.1146	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	859.1253					Band Limited Energy Detector	1	1.0000	Too short
101	Spectrogram 1	1	877.727979167	877.738645833	200.000	2000.000	877.7280	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	877.7386					Band Limited Energy Detector	1	1.0000	Too short
102	Spectrogram 1	1	880.373312500	880.415979167	200.000	2000.000	880.3733	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-46.47	0.398	2.743	328.125	328.125	-30.70	880.3840					Band Limited Energy Detector	4	0.5000	Too sparse
103	Spectrogram 1	1	882.506645833	882.559979167	200.000	2000.000	882.5066	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-46.88	0.785	2.743	328.125	328.125	-30.70	882.5173					Band Limited Energy Detector	5	1.0000	Detection
104	Spectrogram 1	1	906.069312500	906.079979167	200.000	2000.000	906.0693	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	906.0800					Band Limited Energy Detector	1	1.0000	Too short
105	Spectrogram 1	1	908.042645833	908.053312500	200.000	2000.000	908.0426	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	908.0533					Band Limited Energy Detector	1	1.0000	Too short
106	Spectrogram 1	1	910.495979167	910.506645833	200.000	2000.000	910.4960	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	910.5066					Band Limited Energy Detector	1	1.0000	Too short
